epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,feat_norm,loss
13,2530,0.41527,0.031349,0.66657,0.520833,0.969043,68.395996,0.697919
13,2540,0.41691,0.002558,0.742417,0.4375,0.96954,51.365459,0.744975
13,2550,0.41856,0.038259,0.777648,0.270833,0.970028,66.652374,0.815908
13,2560,0.4202,0.002221,0.768978,0.333333,0.970509,80.42131,0.771199
13,2570,0.42184,0.034513,0.73128,0.333333,0.970983,94.070419,0.765793
13,2580,0.42348,0.023137,0.698821,0.5,0.971448,68.786407,0.721957
13,2590,0.42512,0.018729,0.66907,0.604167,0.971907,59.873058,0.687799
13,2600,0.42677,0.019294,0.723557,0.395833,0.972358,63.027458,0.74285
13,2610,0.42841,0.009532,0.691395,0.583333,0.972802,70.745285,0.700927
13,2620,0.43005,0.001064,0.673257,0.625,0.973239,90.548157,0.674321
13,2630,0.43169,0.089117,0.671194,0.625,0.973669,72.553764,0.760311
14,2640,0.43333,0.082529,0.624828,0.729167,0.974093,87.837997,0.707357
14,2650,0.43498,0.148887,0.646285,0.708333,0.974509,98.257629,0.795171
14,2660,0.43662,0.053514,0.74007,0.229167,0.974919,293.418945,0.793584
14,2670,0.43826,0.067758,0.772899,0.375,0.975322,52.189041,0.840656
14,2680,0.4399,0.004912,0.747191,0.4375,0.97572,74.657608,0.752104
14,2690,0.44154,0.014491,0.75036,0.479167,0.97611,71.200394,0.76485
14,2700,0.44319,0.001793,0.776716,0.291667,0.976495,76.348808,0.778508
14,2710,0.44483,0.002427,0.72164,0.395833,0.976873,73.84771,0.724067
14,2720,0.44647,0.061034,0.712907,0.4375,0.977245,67.173553,0.773941
14,2730,0.44811,0.01279,0.656719,0.645833,0.977612,61.305725,0.669509
14,2740,0.44975,0.003494,0.619492,0.770833,0.977973,66.016479,0.622986
14,2750,0.4514,0.014006,0.681153,0.541667,0.978327,65.166588,0.695159
14,2760,0.45304,0.268449,0.680445,0.520833,0.978677,63.199852,0.948894
14,2770,0.45468,0.247396,0.683706,0.583333,0.97902,60.190441,0.931102
14,2780,0.45632,0.108572,0.658785,0.625,0.979358,62.614082,0.767357
14,2790,0.45796,0.003286,0.690308,0.458333,0.979691,65.7202,0.693594
14,2800,0.45961,0.01872,0.694217,0.541667,0.980019,63.982193,0.712937
14,2810,0.46125,0.145824,0.668435,0.666667,0.980341,62.566505,0.814258
14,2820,0.46289,0.022269,0.679516,0.604167,0.980658,69.539108,0.701786
14,2830,0.46453,0.014812,0.637634,0.666667,0.98097,76.191589,0.652446
14,2840,0.46617,0.116467,0.673052,0.666667,0.981277,66.415451,0.78952
15,2850,0.46782,0.029602,0.714014,0.458333,0.981579,77.422997,0.743616
15,2860,0.46946,0.052977,0.705464,0.5625,0.981876,71.598312,0.758441
15,2870,0.4711,0.000131,0.670482,0.645833,0.982169,90.129105,0.670612
15,2880,0.47274,0.011055,0.697845,0.583333,0.982457,70.317535,0.7089
15,2890,0.47438,0.005456,0.702891,0.458333,0.98274,70.363602,0.708348
15,2900,0.47603,0.341406,0.699764,0.520833,0.983019,74.760147,1.041171
15,2910,0.47767,0.072617,0.766777,0.375,0.983293,91.269432,0.839393
15,2920,0.47931,0.002891,0.801969,0.145833,0.983563,90.439049,0.80486
15,2930,0.48095,0.007191,0.701646,0.520833,0.983828,85.202972,0.708837
15,2940,0.48259,0.015928,0.668438,0.604167,0.98409,103.271721,0.684366
15,2950,0.48424,0.080011,0.692884,0.479167,0.984347,66.494904,0.772894
15,2960,0.48588,0.091966,0.689266,0.520833,0.9846,56.060585,0.781232
15,2970,0.48752,0.014563,0.70049,0.5625,0.984849,56.680077,0.715053
15,2980,0.48916,0.219585,0.695536,0.4375,0.985094,56.243217,0.915121
15,2990,0.4908,0.011782,0.672259,0.604167,0.985335,64.102203,0.68404
15,3000,0.49245,0.006373,0.673237,0.625,0.985572,67.157318,0.67961
15,3010,0.49409,0.009551,0.684302,0.541667,0.985805,93.101074,0.693853
15,3020,0.49573,0.003973,0.674947,0.75,0.986035,119.510239,0.67892
15,3030,0.49737,0.13225,0.692319,0.708333,0.98626,97.833054,0.824569
15,3040,0.49901,0.019305,0.624527,0.770833,0.986483,126.948425,0.643832
16,3050,0.50066,0.001379,0.646332,0.75,0.986701,126.945915,0.647712
16,3060,0.5023,0.047729,0.619667,0.729167,0.986917,78.002121,0.667396
16,3070,0.50394,0.08466,0.732938,0.416667,0.987128,78.781311,0.817599
16,3080,0.50558,0.000266,0.758609,0.375,0.987337,84.396332,0.758875
16,3090,0.50722,0.001649,0.757342,0.375,0.987541,101.666458,0.758992
16,3100,0.50887,0.002411,0.705747,0.416667,0.987743,115.565002,0.708158
16,3110,0.51051,0.161188,0.674341,0.5625,0.987942,115.158646,0.835529
16,3120,0.51215,0.0004,0.625264,0.770833,0.988137,101.01812,0.625664
16,3130,0.51379,0.173892,0.694625,0.5,0.988329,73.014328,0.868517
16,3140,0.51544,0.324251,0.762231,0.354167,0.988518,77.399231,1.086482
16,3150,0.51708,0.109298,0.746772,0.395833,0.988704,75.452972,0.85607
16,3160,0.51872,0.017918,0.753922,0.375,0.988887,66.826157,0.77184
16,3170,0.52036,0.011682,0.699295,0.479167,0.989067,68.921631,0.710977
16,3180,0.522,0.043618,0.690809,0.520833,0.989244,81.608398,0.734427
16,3190,0.52365,0.012497,0.680734,0.604167,0.989418,80.980255,0.693231
16,3200,0.52529,0.01039,0.672853,0.5625,0.98959,86.199768,0.683244
16,3210,0.52693,0.007735,0.726156,0.416667,0.989758,77.787323,0.733891
16,3220,0.52857,0.003409,0.680229,0.5625,0.989924,77.445099,0.683638
16,3230,0.53021,0.156674,0.736535,0.333333,0.990087,89.635773,0.893209
16,3240,0.53186,0.141272,0.654731,0.625,0.990248,62.408241,0.796003
